Senate district,Total candidates,D candidates,R candidates,Status (Inc=1),Status,D% gov 2018,Assessment,% of dist in GA-6 or GA-7,D runoff?
1,2,1,1,1,RI,40%,longer shot D,0%,
2,1,1,0,1,DI-UC,74%,D (no R),0%,
3,3,0,3,0,open (no D),33%,R (no D),0%,
4,1,0,1,1,RI-UC,29%,R (no D),0%,
5,1,1,0,1,DI-UC,77%,D (no R),85%,
6,2,1,1,1,DI,59%,hi prob D,16%,
7,1,0,1,1,RI-UC,23%,R (no D),0%,
8,2,1,1,0,open,38%,likely R,0%,
9,4,3,1,1,RI,49%,hi prob D,58%,yes
10,2,2,0,1,DI (no R),83%,D (no R),0%,yes
11,1,0,1,1,RI-UC,34%,R (no D),0%,
12,3,2,1,1,DI,63%,likely D,0%,yes
13,4,2,2,0,open,30%,likely R,0%,yes
14,3,2,1,1,RI,29%,likely R,4%,yes
15,2,2,0,1,DI (no R),70%,D (no R),0%,yes
16,2,1,1,1,RI,32%,likely R,0%,
17,2,1,1,1,Ri,46%,hi prob D,0%,
18,1,0,1,1,RI-UC,37%,R (no D),0%,
19,1,0,1,1,RI-UC,26%,R (no D),0%,
20,3,1,2,1,RI,35%,likely R,0%,
21,2,0,2,1,RI (no D),31%,R (no D),30%,
22,1,1,0,1,DI-UC,73%,D (no R),0%,
23,3,1,2,0,open,40%,longer shot D,0%,
24,1,0,1,1,RI-UC,31%,R (no D),0%,
25,2,1,1,1,RI,33%,likely R,0%,
26,2,2,0,1,DI (no R),67%,D (no R),0%,yes
27,2,1,1,1,RI,28%,likely R,72%,
28,1,0,1,1,RI-UC,28%,R (no D),0%,
29,1,0,1,1,RI-UC,37%,R (no D),0%,
30,4,3,1,1,RI,32%,likely R,0%,yes
31,5,1,4,0,open,27%,likely R,0%,
32,2,1,1,1,RI,45%,hi prob D,95%,
33,1,1,0,1,DI-UC,66%,D (no R),12%,
34,1,1,0,1,DI-UC,83%,D (no R),0%,
35,3,3,0,1,DI (no R),81%,D (no R),0%,yes
36,1,1,0,1,DI-UC,91%,D (no R),0%,
37,3,2,1,1,RI,43%,longer shot D,0%,yes
38,4,4,0,1,DI (no R),84%,D (no R),0%,yes
39,2,2,0,1,DI (no R),88%,D (no R),0%,yes
40,2,1,1,1,DI,58%,hi prob D,100%,
41,6,5,1,0,open,81%,likely D,22%,yes
42,1,1,0,1,DI-UC,81%,D (no R),13%,
43,2,1,1,1,DI,77%,likely D,0%,
44,3,2,1,1,DI,89%,likely D,0%,yes
45,6,3,3,0,open,43%,longer shot D,82%,yes
46,2,1,1,1,RI,40%,longer shot D,0%,
47,2,1,1,1,RI,33%,likely R,0%,
48,3,2,1,0,open,56%,hi prob D,100%,yes
49,1,0,1,1,RI-UC,25%,R (no D),0%,
50,7,1,6,0,open,16%,likely R,0%,
51,2,1,1,1,RI,16%,likely R,0%,
52,2,1,1,1,RI,25%,likely R,0%,
53,3,0,3,1,RI (no D),18%,R (no D),0%,
54,2,0,2,1,RI (no D),20%,R (no D),0%,
55,1,1,0,1,DI-UC,82%,D (no R),7%,
56,2,1,1,1,RI,50%,hi prob D,95%,
