House district,Total candidates,D candidates,R candidates,Status (Inc=1),Status,D% gov 2018,Assessment,% of dist in GA-6 or GA-7,D runoff?
1,3,0,3,0,open (no D),19%,R (no D),0%,
2,1,0,1,1,RI-UC,15%,R (no D),0%,
3,2,0,2,1,RI (no D),20%,R (no D),0%,
4,1,0,1,1,RI-UC,35%,R (no D),0%,
5,1,0,1,1,RI-UC,18%,R (no D),0%,
6,1,0,1,1,RI-UC,19%,R (no D),0%,
7,2,1,1,1,RI,16%,likely R,0%,
8,3,1,2,0,open,17%,likely R,0%,
9,7,1,6,0,open,16%,likely R,0%,
10,4,1,3,0,open,15%,likely R,37%,
11,3,1,2,1,RI,14%,likely R,72%,
12,2,1,1,1,RI,20%,likely R,100%,
13,3,1,2,1,Ri,36%,likely R,39%,
14,1,0,1,1,RI-UC,18%,R (no D),29%,
15,1,0,1,1,RI-UC,27%,R (no D),8%,
16,3,1,2,1,RI,18%,likely R,78%,
17,2,1,1,1,RI,28%,likely R,72%,
18,4,1,3,0,open,26%,likely R,100%,
19,2,1,1,1,RI,36%,likely R,69%,
20,6,1,5,0,open,31%,likely R,100%,
21,4,1,3,0,open,26%,likely R,100%,
22,3,2,1,1,RI,25%,likely R,37%,yes
23,1,0,1,1,RI-UC,25%,R (no D),100%,
24,2,1,1,1,RI,25%,likely R,72%,
25,2,1,1,1,RI,37%,likely R,100%,
26,2,1,1,0,open,21%,likely R,39%,
27,1,0,1,1,RI-UC,17%,R (no D),100%,
28,1,0,1,1,RI-UC,15%,R (no D),92%,
29,2,1,1,1,RI,36%,likely R,100%,
30,2,1,1,1,RI,28%,likely R,26%,
31,2,1,1,1,RI,17%,likely R,13%,
32,2,1,1,1,RI,17%,likely R,12%,
33,4,1,3,0,open,26%,likely R,23%,
34,2,1,1,1,RI,44%,longer shot D,0%,
35,4,3,1,1,RI,49%,hi prob D,100%,yes
36,2,1,1,1,RI,34%,likely R,100%,
37,2,1,1,1,DI,54%,hi prob D,29%,
38,1,1,0,1,DI-UC,70%,D (no R),29%,
39,3,2,1,1,DI,83%,likely D,100%,yes
40,2,1,1,1,DI,60%,likely D,100%,
41,2,1,1,1,DI,69%,likely D,100%,
42,2,2,0,1,DI (no R),75%,D (no R),8%,yes
43,2,1,1,1,RI,51%,hi prob D,78%,
44,2,1,1,1,RI,46%,hi prob D,72%,
45,2,1,1,1,RI,45%,hi prob D,100%,
46,3,2,1,1,RI,39%,likely R,69%,yes
47,2,1,1,1,RI,41%,longer shot D,100%,
48,2,1,1,1,DI,50%,hi prob D,100%,
49,3,2,1,1,RI,49%,hi prob D,100%,yes
50,2,1,1,1,DI,52%,hi prob D,100%,
51,2,1,1,1,DI,54%,hi prob D,100%,
52,2,1,1,1,RI,52%,hi prob D,59%,
53,1,1,0,1,DI-UC,80%,D (no R),0%,
54,2,1,1,1,DI,57%,hi prob D,0%,
55,2,2,0,1,DI (no R),88%,D (no R),0%,yes
56,3,3,0,0,open (no R),91%,D (no R),0%,yes
57,5,5,0,0,open (no R),89%,D (no R),0%,yes
58,1,1,0,1,DI-UC,92%,D (no R),0%,
59,1,1,0,1,DI-UC,91%,D (no R),0%,
60,1,1,0,1,DI-UC,93%,D (no R),0%,
61,1,1,0,1,DI-UC,87%,D (no R),0%,
62,1,1,0,1,DI-UC,87%,D (no R),0%,
63,3,2,1,1,DI,78%,likely D,0%,yes
64,1,1,0,1,DI-UC,74%,D (no R),0%,
65,3,3,0,1,DI (no R),85%,D (no R),0%,yes
66,2,1,1,1,DI,63%,likely D,0%,
67,2,1,1,1,RI,36%,likely R,0%,
68,2,1,1,1,RI,28%,likely R,0%,
69,2,1,1,1,RI,22%,likely R,0%,
70,1,0,1,1,RI-UC,34%,R (no D),0%,
71,3,1,2,1,RI,25%,likely R,0%,
72,2,1,1,1,RI,28%,likely R,0%,
73,2,1,1,1,Ri,42%,longer shot D,0%,
74,2,2,0,0,open (no R),89%,D (no R),0%,yes
75,1,1,0,1,DI-UC,87%,D (no R),0%,
76,1,1,0,1,DI-UC,85%,D (no R),0%,
77,1,1,0,1,DI-UC,92%,D (no R),0%,
78,3,3,0,1,DI (no R),82%,D (no R),0%,yes
79,2,1,1,1,DI,56%,hi prob D,100%,
80,2,1,1,1,DI,58%,hi prob D,92%,
81,1,1,0,1,DI-UC,64%,D (no R),100%,
82,1,1,0,1,DI-UC,75%,D (no R),26%,
83,2,2,0,1,DI (no R),91%,D (no R),0%,yes
84,2,2,0,1,DI (no R),91%,D (no R),0%,yes
85,1,1,0,1,DI-UC,89%,D (no R),0%,
86,4,4,0,1,DI (no R),83%,D (no R),13%,yes
87,1,1,0,1,DI-UC,87%,D (no R),12%,
88,1,1,0,1,DI-UC,83%,D (no R),23%,
89,2,2,0,1,DI (no R),94%,D (no R),0%,yes
90,3,3,0,1,DI (no R),80%,D (no R),0%,yes
91,2,2,0,1,DI (no R),79%,D (no R),0%,yes
92,1,1,0,1,DI-UC,85%,D (no R),0%,
93,3,2,1,1,DI,84%,likely D,0%,yes
94,1,1,0,1,DI-UC,84%,D (no R),0%,
95,2,1,1,1,DI,54%,hi prob D,100%,
96,1,1,0,1,DI-UC,67%,D (no R),100%,
97,2,1,1,1,RI,47%,hi prob D,100%,
98,2,1,1,1,RI,40%,longer shot D,100%,
99,2,2,0,0,open (no R),78%,D (no R),29%,yes
100,1,1,0,1,DI-UC,81%,D (no R),100%,
101,2,1,1,1,DI,60%,likely D,100%,
102,2,1,1,1,DI,52%,hi prob D,100%,
103,4,1,3,1,RI,31%,likely R,42%,
104,3,2,1,1,RI,46%,hi prob D,18%,yes
105,2,1,1,1,DI,59%,hi prob D,71%,
106,3,2,1,1,RI,56%,hi prob D,38%,yes
107,2,1,1,1,DI,59%,hi prob D,100%,
108,2,1,1,1,DI,52%,hi prob D,30%,
109,2,1,1,1,RI,49%,hi prob D,0%,
110,2,1,1,0,open,44%,longer shot D,0%,
111,2,2,0,1,DI (no R),58%,D (no R),0%,yes
112,2,1,1,1,RI,30%,likely R,0%,
113,2,2,0,1,DI (no R),76%,D (no R),0%,yes
114,1,0,1,1,RI-UC,33%,R (no D),16%,
115,2,1,1,1,RI,23%,likely R,0%,
116,1,0,1,1,RI-UC,24%,R (no D),0%,
117,2,1,1,1,RI,47%,hi prob D,0%,
118,1,1,0,1,DI-UC,76%,D (no R),0%,
119,2,1,1,1,RI,46%,hi prob D,0%,
120,1,0,1,1,RI-UC,35%,R (no D),0%,
121,1,0,1,1,RI-UC,37%,R (no D),0%,
122,2,1,1,1,RI,30%,likely R,0%,
123,1,0,1,1,RI-UC,35%,R (no D),0%,
124,1,1,0,1,DI-UC,69%,D (no R),0%,
125,1,1,0,1,DI-UC,64%,D (no R),0%,
126,2,1,1,1,DI,69%,likely D,0%,
127,1,1,0,1,DI-UC,71%,D (no R),0%,
128,2,2,0,1,DI (no R),53%,D (no R),0%,yes
129,2,1,1,1,RI,29%,likely R,0%,
130,2,1,1,1,RI,40%,likely R,0%,
131,3,1,2,0,open,26%,likely R,0%,
132,4,2,2,1,DI,49%,hi prob D,0%,yes
133,1,0,1,1,RI-UC,26%,R (no D),0%,
134,3,2,1,1,RI,36%,likely R,0%,yes
135,1,1,0,1,DI-UC,75%,D (no R),0%,
136,1,1,0,1,DI-UC,77%,D (no R),0%,
137,1,1,0,1,DI-UC,59%,D (no R),0%,
138,2,1,1,1,RI,44%,longer shot D,0%,
139,1,1,0,1,DI-UC,56%,D (no R),0%,
140,1,0,1,1,RI-UC,36%,R (no D),0%,
141,1,0,1,1,RI-UC,37%,R (no D),0%,
142,1,1,0,1,DI-UC,72%,D (no R),0%,
143,1,1,0,1,DI-UC,75%,D (no R),0%,
144,2,1,1,1,RI,33%,likely R,0%,
145,3,2,1,1,RI,45%,hi prob D,0%,yes
146,1,0,1,1,RI-UC,37%,R (no D),0%,
147,3,1,2,1,RI,50%,hi prob D,0%,
148,2,1,1,1,RI,32%,likely R,0%,
149,2,0,2,0,open (no D),28%,R (no D),0%,
150,1,0,1,1,RI-UC,33%,R (no D),0%,
151,2,1,1,1,RI,52%,hi prob D,0%,
152,2,0,2,1,RI (no D),25%,R (no D),0%,
153,2,2,0,1,DI (no R),66%,D (no R),0%,yes
154,1,1,0,1,DI-UC,61%,D (no R),0%,
155,2,1,1,1,RI,28%,likely R,0%,
156,1,0,1,1,RI-UC,23%,R (no D),0%,
157,1,0,1,1,RI-UC,25%,R (no D),0%,
158,2,1,1,1,RI,34%,likely R,0%,
159,1,0,1,1,RI-UC,31%,R (no D),0%,
160,1,0,1,1,RI-UC,30%,R (no D),0%,
161,1,0,1,1,RI-UC,36%,R (no D),0%,
162,1,1,0,1,DI-UC,73%,D (no R),0%,
163,5,5,0,0,open (no R),76%,D (no R),0%,yes
164,3,2,1,1,RI,48%,hi prob D,0%,yes
165,2,2,0,1,DI (no R),69%,D (no R),0%,yes
166,2,1,1,1,RI,33%,likely R,0%,
167,2,0,2,1,RI (no D),32%,R (no D),0%,
